period,sector_slug,sector_name,startup_name,stage,geography,commit_velocity_14d,commit_velocity_change_pct,contributors,contributor_growth_pct,new_repos,signal_type,github_url
q2-2026,ai-ml,AI & Machine Learning,paperless-ngx,Growth,Unknown,54,-10,100,0,0,Framework migration,https://github.com/paperless-ngx
q2-2026,ai-ml,AI & Machine Learning,harvard-edge,Growth,Unknown,337,-30,95,13,1,Framework migration,https://github.com/harvard-edge
q2-2026,ai-ml,AI & Machine Learning,roboflow,Growth,US,24,-60,90,0,2,Framework migration,https://github.com/roboflow
q1-2026,ai-ml,AI & Machine Learning,paperless-ngx,Growth,Unknown,61,336,100,0,0,Deploy frequency spike,https://github.com/paperless-ngx
q1-2026,ai-ml,AI & Machine Learning,harvard-edge,Growth,Unknown,367,63,95,13,1,Framework migration,https://github.com/harvard-edge
q1-2026,ai-ml,AI & Machine Learning,roboflow,Growth,US,127,-29,90,0,2,Framework migration,https://github.com/roboflow
q4-2025,ai-ml,AI & Machine Learning,paperless-ngx,Growth,Unknown,19,-60,100,0,0,Framework migration,https://github.com/paperless-ngx
q4-2025,ai-ml,AI & Machine Learning,harvard-edge,Growth,Unknown,191,-1,95,13,1,Framework migration,https://github.com/harvard-edge
q4-2025,ai-ml,AI & Machine Learning,roboflow,Growth,US,100,-61,90,0,2,Framework migration,https://github.com/roboflow
q3-2025,ai-ml,AI & Machine Learning,paperless-ngx,Growth,Unknown,13,-57,100,0,0,Framework migration,https://github.com/paperless-ngx
q3-2025,ai-ml,AI & Machine Learning,harvard-edge,Growth,Unknown,92,-32,95,13,1,Framework migration,https://github.com/harvard-edge
q3-2025,ai-ml,AI & Machine Learning,roboflow,Growth,US,221,83,90,0,2,Framework migration,https://github.com/roboflow
q2-2026,climate-tech,Climate Tech,opennem,Seed,APAC,29,-79,9,121,0,Engineering hiring burst,https://github.com/opennem
q2-2026,climate-tech,Climate Tech,nco,Series A/B,Unknown,20,-29,24,205,0,Engineering hiring burst,https://github.com/nco
q1-2026,climate-tech,Climate Tech,opennem,Seed,APAC,31,999,9,121,0,Engineering hiring burst,https://github.com/opennem
q1-2026,climate-tech,Climate Tech,nco,Series A/B,Unknown,2,100,24,205,0,Engineering hiring burst,https://github.com/nco
q4-2025,climate-tech,Climate Tech,opennem,Seed,APAC,22,16,9,121,0,Engineering hiring burst,https://github.com/opennem
q4-2025,climate-tech,Climate Tech,nco,Series A/B,Unknown,6,0,24,205,0,Engineering hiring burst,https://github.com/nco
q3-2025,climate-tech,Climate Tech,opennem,Seed,APAC,3,-81,9,121,0,Engineering hiring burst,https://github.com/opennem
q3-2025,climate-tech,Climate Tech,nco,Series A/B,Unknown,5,150,24,205,0,Engineering hiring burst,https://github.com/nco
q2-2026,developer-tools,Developer Tools,nocobase,Growth,Unknown,54,-25,98,0,1,Framework migration,https://github.com/nocobase
q1-2026,developer-tools,Developer Tools,nocobase,Growth,Unknown,267,37,98,0,1,Framework migration,https://github.com/nocobase
q4-2025,developer-tools,Developer Tools,nocobase,Growth,Unknown,60,67,98,0,1,Framework migration,https://github.com/nocobase
q3-2025,developer-tools,Developer Tools,nocobase,Growth,Unknown,239,152,98,0,1,Deploy frequency spike,https://github.com/nocobase
q2-2026,cybersecurity,Cybersecurity,cilium,Growth,Unknown,70,-59,100,0,1,Framework migration,https://github.com/cilium
q2-2026,cybersecurity,Cybersecurity,OpenCTI-Platform,Growth,US,73,-31,100,0,0,Framework migration,https://github.com/OpenCTI-Platform
q2-2026,cybersecurity,Cybersecurity,projectdiscovery,Growth,Unknown,529,17,100,0,0,Framework migration,https://github.com/projectdiscovery
q2-2026,cybersecurity,Cybersecurity,akto-api-security,Growth,US,267,75,53,0,1,Framework migration,https://github.com/akto-api-security
q2-2026,cybersecurity,Cybersecurity,tenzir,Series A/B,EU,75,-56,48,0,0,Framework migration,https://github.com/tenzir
q2-2026,cybersecurity,Cybersecurity,fleetdm,Growth,Unknown,347,-26,100,0,0,Framework migration,https://github.com/fleetdm
q2-2026,cybersecurity,Cybersecurity,gravitational,Growth,US,169,-12,100,8,0,Framework migration,https://github.com/gravitational
q1-2026,cybersecurity,Cybersecurity,cilium,Growth,Unknown,220,224,100,0,1,Deploy frequency spike,https://github.com/cilium
q1-2026,cybersecurity,Cybersecurity,OpenCTI-Platform,Growth,US,158,285,100,0,0,Deploy frequency spike,https://github.com/OpenCTI-Platform
q1-2026,cybersecurity,Cybersecurity,projectdiscovery,Growth,Unknown,994,52,100,0,0,Framework migration,https://github.com/projectdiscovery
q1-2026,cybersecurity,Cybersecurity,akto-api-security,Growth,US,311,141,53,0,1,Framework migration,https://github.com/akto-api-security
q1-2026,cybersecurity,Cybersecurity,tenzir,Series A/B,EU,208,66,48,0,0,Framework migration,https://github.com/tenzir
q1-2026,cybersecurity,Cybersecurity,fleetdm,Growth,Unknown,360,221,100,0,0,Deploy frequency spike,https://github.com/fleetdm
q1-2026,cybersecurity,Cybersecurity,gravitational,Growth,US,155,118,100,8,0,Framework migration,https://github.com/gravitational
q4-2025,cybersecurity,Cybersecurity,cilium,Growth,Unknown,164,-13,100,0,1,Framework migration,https://github.com/cilium
q4-2025,cybersecurity,Cybersecurity,OpenCTI-Platform,Growth,US,102,15,100,0,0,Framework migration,https://github.com/OpenCTI-Platform
q4-2025,cybersecurity,Cybersecurity,projectdiscovery,Growth,Unknown,882,53,100,0,0,Framework migration,https://github.com/projectdiscovery
q4-2025,cybersecurity,Cybersecurity,akto-api-security,Growth,US,182,-8,53,0,1,Framework migration,https://github.com/akto-api-security
q4-2025,cybersecurity,Cybersecurity,tenzir,Series A/B,EU,144,17,48,0,0,Framework migration,https://github.com/tenzir
q4-2025,cybersecurity,Cybersecurity,fleetdm,Growth,Unknown,280,3,100,0,0,Framework migration,https://github.com/fleetdm
q4-2025,cybersecurity,Cybersecurity,gravitational,Growth,US,178,-1,100,8,0,Framework migration,https://github.com/gravitational
q3-2025,cybersecurity,Cybersecurity,cilium,Growth,Unknown,153,-26,100,0,1,Framework migration,https://github.com/cilium
q3-2025,cybersecurity,Cybersecurity,OpenCTI-Platform,Growth,US,56,-47,100,0,0,Framework migration,https://github.com/OpenCTI-Platform
q3-2025,cybersecurity,Cybersecurity,projectdiscovery,Growth,Unknown,469,31,100,0,0,Framework migration,https://github.com/projectdiscovery
q3-2025,cybersecurity,Cybersecurity,akto-api-security,Growth,US,111,-8,53,0,1,Framework migration,https://github.com/akto-api-security
q3-2025,cybersecurity,Cybersecurity,tenzir,Series A/B,EU,129,24,48,0,0,Framework migration,https://github.com/tenzir
q3-2025,cybersecurity,Cybersecurity,fleetdm,Growth,Unknown,247,13,100,0,0,Framework migration,https://github.com/fleetdm
q3-2025,cybersecurity,Cybersecurity,gravitational,Growth,US,150,-19,100,8,0,Framework migration,https://github.com/gravitational
q2-2026,healthcare,Healthcare,andes,Series A/B,Unknown,8,-47,44,19,0,Framework migration,https://github.com/andes
q2-2026,healthcare,Healthcare,third-culture-software,Series A/B,Unknown,13,30,27,0,1,Framework migration,https://github.com/third-culture-software
q2-2026,healthcare,Healthcare,hapifhir,Growth,Unknown,22,-56,100,79,0,Engineering hiring burst,https://github.com/hapifhir
q2-2026,healthcare,Healthcare,masslight,Series A/B,Unknown,110,-71,24,0,0,Framework migration,https://github.com/masslight
q1-2026,healthcare,Healthcare,andes,Series A/B,Unknown,4,999,44,19,0,Deploy frequency spike,https://github.com/andes
q1-2026,healthcare,Healthcare,third-culture-software,Series A/B,Unknown,23,360,27,0,1,Deploy frequency spike,https://github.com/third-culture-software
q1-2026,healthcare,Healthcare,ballerina-platform,Seed,Unknown,215,999,11,0,0,Deploy frequency spike,https://github.com/ballerina-platform
q1-2026,healthcare,Healthcare,hapifhir,Growth,Unknown,33,1550,100,79,0,Engineering hiring burst,https://github.com/hapifhir
q1-2026,healthcare,Healthcare,masslight,Series A/B,Unknown,392,72,24,0,0,Framework migration,https://github.com/masslight
q4-2025,healthcare,Healthcare,andes,Series A/B,Unknown,5,-44,44,19,0,Framework migration,https://github.com/andes
q4-2025,healthcare,Healthcare,third-culture-software,Series A/B,Unknown,2,-80,27,0,1,Framework migration,https://github.com/third-culture-software
q4-2025,healthcare,Healthcare,ballerina-platform,Seed,Unknown,287,-4,11,0,0,Framework migration,https://github.com/ballerina-platform
q4-2025,healthcare,Healthcare,hapifhir,Growth,Unknown,11,-15,100,79,0,Engineering hiring burst,https://github.com/hapifhir
q4-2025,healthcare,Healthcare,masslight,Series A/B,Unknown,425,-12,24,0,0,Framework migration,https://github.com/masslight
q3-2025,healthcare,Healthcare,andes,Series A/B,Unknown,5,-44,44,19,0,Framework migration,https://github.com/andes
q3-2025,healthcare,Healthcare,third-culture-software,Series A/B,Unknown,44,19,27,0,1,Framework migration,https://github.com/third-culture-software
q3-2025,healthcare,Healthcare,ballerina-platform,Seed,Unknown,281,-1,11,0,0,Framework migration,https://github.com/ballerina-platform
q3-2025,healthcare,Healthcare,hapifhir,Growth,Unknown,17,-11,100,79,0,Engineering hiring burst,https://github.com/hapifhir
q3-2025,healthcare,Healthcare,masslight,Series A/B,Unknown,390,-21,24,0,0,Framework migration,https://github.com/masslight
q2-2026,edtech,EdTech,hpi-schul-cloud,Growth,EU,3,-75,100,0,2,Framework migration,https://github.com/hpi-schul-cloud
q2-2026,edtech,EdTech,OpenOLAT,Seed,EU,102,-33,15,25,0,Framework migration,https://github.com/OpenOLAT
q2-2026,edtech,EdTech,NDLANO,Series A/B,Unknown,42,-5,28,10,0,Framework migration,https://github.com/NDLANO
q2-2026,edtech,EdTech,mdn,Growth,Unknown,225,-55,100,0,0,Framework migration,https://github.com/mdn
q2-2026,edtech,EdTech,particify,Seed,EU,7,-12,16,0,0,Framework migration,https://github.com/particify
q1-2026,edtech,EdTech,hpi-schul-cloud,Growth,EU,5,999,100,0,2,Deploy frequency spike,https://github.com/hpi-schul-cloud
q1-2026,edtech,EdTech,OpenOLAT,Seed,EU,142,517,15,25,0,Deploy frequency spike,https://github.com/OpenOLAT
q1-2026,edtech,EdTech,NDLANO,Series A/B,Unknown,20,999,28,10,0,Deploy frequency spike,https://github.com/NDLANO
q1-2026,edtech,EdTech,mdn,Growth,Unknown,492,13,100,0,0,Framework migration,https://github.com/mdn
q1-2026,edtech,EdTech,particify,Seed,EU,14,999,16,0,0,Deploy frequency spike,https://github.com/particify
q4-2025,edtech,EdTech,hpi-schul-cloud,Growth,EU,4,-20,100,0,2,Framework migration,https://github.com/hpi-schul-cloud
q4-2025,edtech,EdTech,OpenOLAT,Seed,EU,85,-25,15,25,0,Framework migration,https://github.com/OpenOLAT
q4-2025,edtech,EdTech,NDLANO,Series A/B,Unknown,18,-59,28,10,0,Framework migration,https://github.com/NDLANO
q4-2025,edtech,EdTech,mdn,Growth,Unknown,692,68,100,0,0,Framework migration,https://github.com/mdn
q4-2025,edtech,EdTech,particify,Seed,EU,24,-38,16,0,0,Framework migration,https://github.com/particify
q3-2025,edtech,EdTech,hpi-schul-cloud,Growth,EU,6,-14,100,0,2,Framework migration,https://github.com/hpi-schul-cloud
q3-2025,edtech,EdTech,OpenOLAT,Seed,EU,138,24,15,25,0,Framework migration,https://github.com/OpenOLAT
q3-2025,edtech,EdTech,NDLANO,Series A/B,Unknown,14,-48,38,0,0,Framework migration,https://github.com/NDLANO
q3-2025,edtech,EdTech,mdn,Growth,Unknown,197,-17,100,0,0,Framework migration,https://github.com/mdn
q3-2025,edtech,EdTech,particify,Seed,EU,15,114,16,0,0,Framework migration,https://github.com/particify
q2-2026,ecommerce-infrastructure,E-commerce Infrastructure,saleor,Growth,Unknown,19,6,100,0,0,Framework migration,https://github.com/saleor
q2-2026,ecommerce-infrastructure,E-commerce Infrastructure,bagisto,Growth,APAC,39,39,100,0,0,Framework migration,https://github.com/bagisto
q1-2026,ecommerce-infrastructure,E-commerce Infrastructure,saleor,Growth,Unknown,9,29,100,0,0,Framework migration,https://github.com/saleor
q1-2026,ecommerce-infrastructure,E-commerce Infrastructure,bagisto,Growth,APAC,115,58,100,0,0,Framework migration,https://github.com/bagisto
q4-2025,ecommerce-infrastructure,E-commerce Infrastructure,saleor,Growth,Unknown,9,-59,100,0,0,Framework migration,https://github.com/saleor
q4-2025,ecommerce-infrastructure,E-commerce Infrastructure,bagisto,Growth,APAC,58,57,100,0,0,Framework migration,https://github.com/bagisto
q3-2025,ecommerce-infrastructure,E-commerce Infrastructure,saleor,Growth,Unknown,32,-29,100,0,0,Framework migration,https://github.com/saleor
q3-2025,ecommerce-infrastructure,E-commerce Infrastructure,bagisto,Growth,APAC,16,-24,100,0,0,Framework migration,https://github.com/bagisto
q3-2025,ecommerce-infrastructure,E-commerce Infrastructure,vuestorefront,Growth,Unknown,1,999,100,0,0,Deploy frequency spike,https://github.com/vuestorefront
q2-2026,web3,Web3,horizontalsystems,Series A/B,Unknown,13,-72,22,0,1,Framework migration,https://github.com/horizontalsystems
q1-2026,web3,Web3,horizontalsystems,Series A/B,Unknown,98,180,22,0,1,Deploy frequency spike,https://github.com/horizontalsystems
q4-2025,web3,Web3,horizontalsystems,Series A/B,Unknown,36,-5,22,0,1,Framework migration,https://github.com/horizontalsystems
q3-2025,web3,Web3,horizontalsystems,Series A/B,Unknown,32,33,22,0,1,Framework migration,https://github.com/horizontalsystems
q2-2026,enterprise-saas,Enterprise SaaS,langchain-ai,Growth,US,105,-5,100,20,1,Framework migration,https://github.com/langchain-ai
q2-2026,enterprise-saas,Enterprise SaaS,atrocore,Seed,EU,70,-32,18,0,0,Framework migration,https://github.com/atrocore
q2-2026,enterprise-saas,Enterprise SaaS,polarsource,Growth,Unknown,291,-14,100,0,0,Framework migration,https://github.com/polarsource
q2-2026,enterprise-saas,Enterprise SaaS,open-condo-software,Growth,LATAM,44,-10,51,0,0,Framework migration,https://github.com/open-condo-software
q2-2026,enterprise-saas,Enterprise SaaS,ParabolInc,Growth,US,21,-56,78,0,1,Framework migration,https://github.com/ParabolInc
q1-2026,enterprise-saas,Enterprise SaaS,langchain-ai,Growth,US,159,137,100,20,1,Framework migration,https://github.com/langchain-ai
q1-2026,enterprise-saas,Enterprise SaaS,atrocore,Seed,EU,76,-20,18,0,0,Framework migration,https://github.com/atrocore
q1-2026,enterprise-saas,Enterprise SaaS,polarsource,Growth,Unknown,289,456,100,0,0,Deploy frequency spike,https://github.com/polarsource
q1-2026,enterprise-saas,Enterprise SaaS,open-condo-software,Growth,LATAM,23,15,51,0,0,Framework migration,https://github.com/open-condo-software
q1-2026,enterprise-saas,Enterprise SaaS,ParabolInc,Growth,US,23,999,78,0,1,Deploy frequency spike,https://github.com/ParabolInc
q4-2025,enterprise-saas,Enterprise SaaS,langchain-ai,Growth,US,226,42,100,20,1,Framework migration,https://github.com/langchain-ai
q4-2025,enterprise-saas,Enterprise SaaS,atrocore,Seed,EU,66,-39,18,0,0,Framework migration,https://github.com/atrocore
q4-2025,enterprise-saas,Enterprise SaaS,polarsource,Growth,Unknown,164,-18,100,0,0,Framework migration,https://github.com/polarsource
q4-2025,enterprise-saas,Enterprise SaaS,open-condo-software,Growth,LATAM,68,-3,51,0,0,Framework migration,https://github.com/open-condo-software
q4-2025,enterprise-saas,Enterprise SaaS,ParabolInc,Growth,US,37,-14,78,0,1,Framework migration,https://github.com/ParabolInc
q3-2025,enterprise-saas,Enterprise SaaS,langchain-ai,Growth,US,161,55,100,20,1,Framework migration,https://github.com/langchain-ai
q3-2025,enterprise-saas,Enterprise SaaS,atrocore,Seed,EU,69,-21,18,0,0,Framework migration,https://github.com/atrocore
q3-2025,enterprise-saas,Enterprise SaaS,polarsource,Growth,Unknown,120,1,100,0,0,Framework migration,https://github.com/polarsource
q3-2025,enterprise-saas,Enterprise SaaS,open-condo-software,Growth,LATAM,64,100,51,0,0,Framework migration,https://github.com/open-condo-software
q3-2025,enterprise-saas,Enterprise SaaS,ParabolInc,Growth,US,18,-5,78,0,1,Framework migration,https://github.com/ParabolInc
q2-2026,data-infrastructure,Data Infrastructure,PostHog,Growth,US,231,-11,100,0,3,Infrastructure buildout,https://github.com/PostHog
q2-2026,data-infrastructure,Data Infrastructure,ClickHouse,Growth,US,2184,-40,100,0,4,Infrastructure buildout,https://github.com/ClickHouse
q2-2026,data-infrastructure,Data Infrastructure,dagster-io,Growth,US,120,-4,100,19,1,Framework migration,https://github.com/dagster-io
q2-2026,data-infrastructure,Data Infrastructure,dbt-labs,Growth,Unknown,362,-21,100,0,2,Framework migration,https://github.com/dbt-labs
q2-2026,data-infrastructure,Data Infrastructure,odpi,Growth,Unknown,8,-64,62,0,0,Framework migration,https://github.com/odpi
q2-2026,data-infrastructure,Data Infrastructure,VictoriaMetrics,Growth,US,71,4,100,0,0,Framework migration,https://github.com/VictoriaMetrics
q2-2026,data-infrastructure,Data Infrastructure,airbytehq,Growth,US,164,-77,100,0,0,Framework migration,https://github.com/airbytehq
q2-2026,data-infrastructure,Data Infrastructure,debezium,Growth,Unknown,61,-55,100,35,0,Framework migration,https://github.com/debezium
q1-2026,data-infrastructure,Data Infrastructure,PostHog,Growth,US,224,273,100,0,3,Infrastructure buildout,https://github.com/PostHog
q1-2026,data-infrastructure,Data Infrastructure,ClickHouse,Growth,US,2090,82,100,0,4,Infrastructure buildout,https://github.com/ClickHouse
q1-2026,data-infrastructure,Data Infrastructure,dagster-io,Growth,US,108,192,100,19,1,Deploy frequency spike,https://github.com/dagster-io
q1-2026,data-infrastructure,Data Infrastructure,dbt-labs,Growth,Unknown,481,533,100,0,2,Deploy frequency spike,https://github.com/dbt-labs
q1-2026,data-infrastructure,Data Infrastructure,odpi,Growth,Unknown,17,-60,62,0,0,Framework migration,https://github.com/odpi
q1-2026,data-infrastructure,Data Infrastructure,VictoriaMetrics,Growth,US,65,117,100,0,0,Framework migration,https://github.com/VictoriaMetrics
q1-2026,data-infrastructure,Data Infrastructure,airbytehq,Growth,US,559,1647,100,0,0,Deploy frequency spike,https://github.com/airbytehq
q1-2026,data-infrastructure,Data Infrastructure,debezium,Growth,Unknown,61,408,100,35,0,Deploy frequency spike,https://github.com/debezium
q4-2025,data-infrastructure,Data Infrastructure,PostHog,Growth,US,239,-21,100,0,3,Infrastructure buildout,https://github.com/PostHog
q4-2025,data-infrastructure,Data Infrastructure,ClickHouse,Growth,US,1805,11,100,0,4,Infrastructure buildout,https://github.com/ClickHouse
q4-2025,data-infrastructure,Data Infrastructure,dagster-io,Growth,US,123,17,100,19,1,Framework migration,https://github.com/dagster-io
q4-2025,data-infrastructure,Data Infrastructure,dbt-labs,Growth,Unknown,573,60,100,0,2,Framework migration,https://github.com/dbt-labs
q4-2025,data-infrastructure,Data Infrastructure,odpi,Growth,Unknown,15,-69,62,0,0,Framework migration,https://github.com/odpi
q4-2025,data-infrastructure,Data Infrastructure,VictoriaMetrics,Growth,US,60,5,100,0,0,Framework migration,https://github.com/VictoriaMetrics
q4-2025,data-infrastructure,Data Infrastructure,airbytehq,Growth,US,897,20,100,0,0,Framework migration,https://github.com/airbytehq
q4-2025,data-infrastructure,Data Infrastructure,debezium,Growth,Unknown,106,-11,100,35,0,Framework migration,https://github.com/debezium
q3-2025,data-infrastructure,Data Infrastructure,PostHog,Growth,US,184,24,100,0,3,Infrastructure buildout,https://github.com/PostHog
q3-2025,data-infrastructure,Data Infrastructure,ClickHouse,Growth,US,1824,-1,100,0,4,Infrastructure buildout,https://github.com/ClickHouse
q3-2025,data-infrastructure,Data Infrastructure,dagster-io,Growth,US,85,-61,100,19,1,Framework migration,https://github.com/dagster-io
q3-2025,data-infrastructure,Data Infrastructure,dbt-labs,Growth,Unknown,320,-31,100,0,2,Framework migration,https://github.com/dbt-labs
q3-2025,data-infrastructure,Data Infrastructure,VictoriaMetrics,Growth,US,96,10,100,0,0,Framework migration,https://github.com/VictoriaMetrics
q3-2025,data-infrastructure,Data Infrastructure,airbytehq,Growth,US,721,-10,100,0,0,Framework migration,https://github.com/airbytehq
q3-2025,data-infrastructure,Data Infrastructure,debezium,Growth,Unknown,64,-29,100,35,0,Framework migration,https://github.com/debezium
q2-2026,robotics,Robotics,ihmcrobotics,Growth,Unknown,23,44,79,6,0,Framework migration,https://github.com/ihmcrobotics
q1-2026,robotics,Robotics,ihmcrobotics,Growth,Unknown,45,800,79,6,0,Deploy frequency spike,https://github.com/ihmcrobotics
q4-2025,robotics,Robotics,ihmcrobotics,Growth,Unknown,34,-11,79,6,0,Framework migration,https://github.com/ihmcrobotics
q3-2025,robotics,Robotics,ihmcrobotics,Growth,Unknown,8,-68,79,6,0,Framework migration,https://github.com/ihmcrobotics
q2-2026,legal-tech,Legal Tech,wazuh,Growth,US,215,-6,100,7,1,Framework migration,https://github.com/wazuh
q1-2026,legal-tech,Legal Tech,wazuh,Growth,US,260,65,100,7,1,Framework migration,https://github.com/wazuh
q4-2025,legal-tech,Legal Tech,wazuh,Growth,US,245,-8,100,7,1,Framework migration,https://github.com/wazuh
q3-2025,legal-tech,Legal Tech,wazuh,Growth,US,184,-19,100,7,1,Framework migration,https://github.com/wazuh
q2-2026,hr-tech,HR Tech,zapplyjobs,Seed,US,1158,-53,8,220,0,Engineering hiring burst,https://github.com/zapplyjobs
q2-2026,hr-tech,HR Tech,ever-co,Growth,US,13,-50,79,0,1,Framework migration,https://github.com/ever-co
q1-2026,hr-tech,HR Tech,zapplyjobs,Seed,US,6,-60,8,220,0,Engineering hiring burst,https://github.com/zapplyjobs
q1-2026,hr-tech,HR Tech,ever-co,Growth,US,50,79,79,0,1,Framework migration,https://github.com/ever-co
q4-2025,hr-tech,HR Tech,zapplyjobs,Seed,US,43,999,8,220,0,Engineering hiring burst,https://github.com/zapplyjobs
q4-2025,hr-tech,HR Tech,ever-co,Growth,US,23,-34,79,0,1,Framework migration,https://github.com/ever-co
q3-2025,hr-tech,HR Tech,zapplyjobs,Seed,US,87,1143,8,220,0,Engineering hiring burst,https://github.com/zapplyjobs
q3-2025,hr-tech,HR Tech,ever-co,Growth,US,31,-62,79,0,1,Framework migration,https://github.com/ever-co
