rank,repo,score,stars,forks,open_issues,language,last_push,delta_stars_week,weekly_growth_pct
1,n8n-io/n8n,88,200026,60036,1427,TypeScript,2026-08-10T05:58:42Z,2676,0.47458829490752463
2,ollama/ollama,88,178162,17328,3653,Go,2026-08-09T17:38:49Z,1577,0.31256901775348983
3,langchain-ai/langchain,88,143843,23964,429,Python,2026-08-09T17:31:19Z,1583,0.3894629551525376
4,vercel/next.js,88,141705,31722,4394,JavaScript,2026-08-10T02:23:13Z,651,0.16153388064145646
5,immich-app/immich,88,110099,6476,756,TypeScript,2026-08-10T03:51:41Z,1729,0.5584109993540647
6,tauri-apps/tauri,88,110062,3850,1438,Rust,2026-08-09T09:09:03Z,778,0.24916730719959007
7,denoland/deno,88,108207,6324,1503,Rust,2026-08-08T08:48:56Z,442,0.14355310165638194
8,supabase/supabase,88,107761,13511,1232,TypeScript,2026-08-10T03:37:15Z,1034,0.3390894525284136
9,oven-sh/bun,88,95347,4946,7778,Rust,2026-08-10T05:50:17Z,429,0.15818917381318612
10,cline/cline,87,65938,7083,966,TypeScript,2026-08-10T00:15:39Z,1039,0.5603322085086058
11,coollabsio/coolify,87,60320,5240,832,PHP,2026-08-08T12:15:13Z,1146,0.6778314800419102
12,twentyhq/twenty,87,54625,8433,148,TypeScript,2026-08-10T05:56:25Z,1226,0.8035731006198618
13,strapi/strapi,86,72830,9822,516,TypeScript,2026-08-09T22:04:56Z,130,0.06258596973865199
14,nocodb/nocodb,86,64480,4980,696,TypeScript,2026-08-08T19:25:06Z,293,0.15976755417763722
15,pocketbase/pocketbase,86,60585,3629,19,Go,2026-08-10T05:59:28Z,486,0.2830329955573304
16,go-gitea/gitea,86,57286,6988,2608,Go,2026-08-10T02:08:23Z,335,0.2058787378623729
17,appwrite/appwrite,86,56829,5625,1033,TypeScript,2026-08-10T05:40:55Z,198,0.12237113948190921
18,run-llama/llama_index,86,51521,7899,601,Python,2026-08-09T22:20:15Z,538,0.369338799207579
19,calcom/cal.com,86,47386,14700,1392,TypeScript,2026-08-08T17:13:42Z,716,0.5369616455967431
20,appsmithorg/appsmith,85,40612,4710,4465,TypeScript,2026-08-10T05:54:38Z,173,0.14973169465120306
21,umami-software/umami,85,38127,7723,120,TypeScript,2026-08-10T00:57:31Z,329,0.3046457484522991
22,PostHog/posthog,85,37591,3162,6106,Python,2026-08-10T05:47:43Z,402,0.3783376804969211
23,directus/directus,85,37272,4898,400,TypeScript,2026-08-08T12:22:39Z,545,0.5193726686089253
24,medusajs/medusa,85,35690,5055,125,TypeScript,2026-08-10T03:44:37Z,413,0.40975706551010577
25,novuhq/novu,84,39471,4404,105,TypeScript,2026-08-09T15:34:59Z,129,0.11476284886380968
26,qdrant/qdrant,84,33892,2571,691,Rust,2026-08-09T21:54:55Z,424,0.44340862913828133
27,hoppscotch/hoppscotch,83,80003,6020,776,TypeScript,2026-08-05T13:13:45Z,156,0.06838077823838089
28,activepieces/activepieces,83,23686,4019,443,TypeScript,2026-08-10T02:09:30Z,320,0.4793289394847214
29,meilisearch/meilisearch,82,58920,2662,303,Rust,2026-08-06T15:47:46Z,238,0.14195153539415836
30,windmill-labs/windmill,82,17487,1063,821,Rust,2026-08-10T00:48:08Z,280,0.5695356540942639
31,weaviate/weaviate,82,16713,1361,638,Go,2026-08-10T05:51:01Z,84,0.1767995670214685
32,triggerdotdev/trigger.dev,82,15952,1401,416,TypeScript,2026-08-10T00:06:54Z,250,0.557253853012355
33,documenso/documenso,82,14315,3023,208,TypeScript,2026-08-10T05:17:51Z,257,0.6398491961872244
34,formbricks/formbricks,81,12750,2449,232,TypeScript,2026-08-10T05:52:54Z,140,0.3885804916732752
35,plausible/analytics,80,28450,1782,52,Elixir,2026-08-07T05:30:14Z,533,0.6682308270946019
36,chroma-core/chroma,79,29000,2430,780,Rust,2026-08-07T21:22:23Z,161,0.19539512465758171
37,typesense/typesense,79,26414,964,866,C++,2026-08-05T10:07:05Z,72,0.09566471794093084
38,unkeyed/unkey,78,5413,633,189,Go,2026-08-09T20:34:27Z,17,0.11026686434395848
39,mindsdb/mindsdb,63,39525,6221,3,Makefile,2026-07-10T16:53:47Z,57,0.050547278808148376
40,refinedev/refine,63,35487,3186,80,TypeScript,2026-06-05T15:19:38Z,135,0.13365580448065173
