Name,X Handle,X URL,Bucket,Tier,Dream 100,Handle Confirmed
Ben Thompson (Stratechery),@benthompson,https://x.com/benthompson,A. Business-of-tech analysts,T1,Dream 100,yes
Packy McCormick (Not Boring),@packyM,https://x.com/packyM,A. Business-of-tech analysts,T1,Dream 100,yes
Mario Gabriele (The Generalist),@mariodgabriele,https://x.com/mariodgabriele,A. Business-of-tech analysts,T1,Dream 100,no
Benedict Evans,@benedictevans,https://x.com/benedictevans,A. Business-of-tech analysts,T1,Dream 100,yes
Scott Galloway,@profgalloway,https://x.com/profgalloway,A. Business-of-tech analysts,T1,Dream 100,yes
Horace Dediu,@asymco,https://x.com/asymco,A. Business-of-tech analysts,T1,Dream 100,yes
Byrne Hobart (The Diff),@ByrneHobart,https://x.com/ByrneHobart,A. Business-of-tech analysts,T1,Dream 100,yes
Tomasz Tunguz (Theory Ventures),@ttunguz,https://x.com/ttunguz,A. Business-of-tech analysts,T1,Dream 100,yes
Auren Hoffman (World of DaaS),@auren,https://x.com/auren,A. Business-of-tech analysts,T1,Dream 100,yes
Elad Gil,@eladgil,https://x.com/eladgil,A. Business-of-tech analysts,T1,Dream 100,yes
Matt Turck (FirstMark / MAD landscape),@mattturck,https://x.com/mattturck,A. Business-of-tech analysts,T1,Dream 100,no
Dan Shipper (Every),@danshipper,https://x.com/danshipper,A. Business-of-tech analysts,T1,Dream 100,no
Om Malik,@om,https://x.com/om,A. Business-of-tech analysts,T1,Dream 100,yes
Sarah Tavel (Benchmark),@sarahtavel,https://x.com/sarahtavel,A. Business-of-tech analysts,T1,Dream 100,yes
Chris Dixon (a16z),@cdixon,https://x.com/cdixon,A. Business-of-tech analysts,T1,Dream 100,yes
Hunter Walk (Homebrew),@hunterwalk,https://x.com/hunterwalk,A. Business-of-tech analysts,T1,Dream 100,yes
Eric Stromberg (Bedrock),@ericstromberg,https://x.com/ericstromberg,A. Business-of-tech analysts,T1,Dream 100,no
Nathan Baschez (Every/Lex),@nbashaw,https://x.com/nbashaw,A. Business-of-tech analysts,T1,Dream 100,no
Jamin Ball (Clouded Judgement),@jaminball,https://x.com/jaminball,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Kyle Poyar (Growth Unhinged),@kyle_poyar,https://x.com/kyle_poyar,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Jason Lemkin (SaaStr),@jasonlk,https://x.com/jasonlk,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Hiten Shah,@hnshah,https://x.com/hnshah,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Patrick Campbell (ex-ProfitWell),@patticus,https://x.com/patticus,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Lenny Rachitsky,@lennysan,https://x.com/lennysan,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Gokul Rajaram,@gokulr,https://x.com/gokulr,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
SaaStr (org),@SaaStr,https://x.com/SaaStr,B. SaaS/cloud-metrics & GTM,T1,Dream 100,no
Dave Gerhardt (Exit Five),@davegerhardt,https://x.com/davegerhardt,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Peter Walker (Carta),@peterwalker99,https://x.com/peterwalker99,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
David Cancel (Drift),@David_Cancel,https://x.com/David_Cancel,B. SaaS/cloud-metrics & GTM,T1,Dream 100,no
Brian Balfour (Reforge),@bbalfour,https://x.com/bbalfour,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
Andrew Chen (a16z),@andrewchen,https://x.com/andrewchen,B. SaaS/cloud-metrics & GTM,T1,Dream 100,yes
April Dunford,@aprildunford,https://x.com/aprildunford,B. SaaS/cloud-metrics & GTM,T1,Dream 100,no
Tom Loverro (IVP),@tomloverro,https://x.com/tomloverro,B. SaaS/cloud-metrics & GTM,T1,Dream 100,no
Andrew Wilkinson (Tiny),@awilkinson,https://x.com/awilkinson,D. PE/M&A/holdco operators,T1,Dream 100,yes
Nick Huber (Sweaty Startup),@sweatystartup,https://x.com/sweatystartup,D. PE/M&A/holdco operators,T1,Dream 100,yes
Anthony Pompliano,@APompliano,https://x.com/APompliano,D. PE/M&A/holdco operators,T1,Dream 100,yes
Bill Gurley (Benchmark),@bgurley,https://x.com/bgurley,D. PE/M&A/holdco operators,T1,Dream 100,yes
Brad Gerstner (Altimeter),@brad_gerstner,https://x.com/brad_gerstner,D. PE/M&A/holdco operators,T1,Dream 100,yes
Chamath Palihapitiya,@chamath,https://x.com/chamath,D. PE/M&A/holdco operators,T1,Dream 100,yes
Joe Lonsdale (8VC),@jefflonsdale,https://x.com/jefflonsdale,D. PE/M&A/holdco operators,T1,Dream 100,yes
Patrick O'Shaughnessy (Colossus),@patrick_oshag,https://x.com/patrick_oshag,D. PE/M&A/holdco operators,T1,Dream 100,yes
Michael Mauboussin,@mjmauboussin,https://x.com/mjmauboussin,D. PE/M&A/holdco operators,T1,Dream 100,no
10-K Diver,@10kdiver,https://x.com/10kdiver,D. PE/M&A/holdco operators,T1,Dream 100,yes
Morgan Housel (Collab Fund),@morganhousel,https://x.com/morganhousel,D. PE/M&A/holdco operators,T1,Dream 100,yes
Modest Proposal,@modestproposal1,https://x.com/modestproposal1,D. PE/M&A/holdco operators,T1,Dream 100,yes
Alex Morris (TSOH),@TSOH_Investing,https://x.com/TSOH_Investing,D. PE/M&A/holdco operators,T1,Dream 100,no
Jim O'Shaughnessy (Infinite Loops),@jposhaughnessy,https://x.com/jposhaughnessy,D. PE/M&A/holdco operators,T1,Dream 100,no
The Transcript,@TheTranscript_,https://x.com/TheTranscript_,D. PE/M&A/holdco operators,T1,Dream 100,no
Quartr,@QuartrApp,https://x.com/QuartrApp,D. PE/M&A/holdco operators,T1,Dream 100,no
Fabrice Grinda (FJ Labs),@fabricegrinda,https://x.com/fabricegrinda,D. PE/M&A/holdco operators,T1,Dream 100,yes
Rohit Krishnan (Strange Loop Canon),@rohitkrishnan,https://x.com/rohitkrishnan,D. PE/M&A/holdco operators,T1,Dream 100,no
CB Insights,@cbinsights,https://x.com/cbinsights,F. Market-map / deal-data,T1,Dream 100,no
PitchBook,@PitchBook,https://x.com/PitchBook,F. Market-map / deal-data,T1,Dream 100,no
Crunchbase,@crunchbase,https://x.com/crunchbase,F. Market-map / deal-data,T1,Dream 100,no
Gartner,@Gartner_inc,https://x.com/Gartner_inc,F. Market-map / deal-data,T1,Dream 100,no
