name,sector,stage,geography,commitVelocity14d,commitVelocityChange,contributors,contributorGrowth,newRepos,signalType,githubUrl
the-momentum,Healthcare,Growth,Unknown,17,-26%,52,+25%,0,Framework migration,https://github.com/the-momentum
andes,Healthcare,Pre-seed,Unknown,3,-40%,3,+0%,0,Framework migration,https://github.com/andes
simpledotorg,Healthcare,Seed,Unknown,2,+0%,18,+0%,1,Framework migration,https://github.com/simpledotorg
aipoch,Healthcare,Seed,APAC,307,+1362%,8,+0%,1,Deploy frequency spike,https://github.com/aipoch
OHIF,Healthcare,Growth,Unknown,28,-30%,100,+90%,1,Engineering hiring burst,https://github.com/OHIF
aphp,Healthcare,Seed,EU,6,-25%,14,+0%,3,Infrastructure buildout,https://github.com/aphp
FreedomIntelligence,Healthcare,Seed,Unknown,55,-40%,16,+67%,4,Engineering hiring burst,https://github.com/FreedomIntelligence
zapplyjobs,Healthcare,Pre-seed,US,1388,+2%,7,+0%,2,Framework migration,https://github.com/zapplyjobs
hpi-studyu,Healthcare,Seed,EU,51,-6%,17,+99%,0,Engineering hiring burst,https://github.com/hpi-studyu
ohcnetwork,Healthcare,Growth,APAC,13,-54%,100,+0%,5,Infrastructure buildout,https://github.com/ohcnetwork
samply,Healthcare,Series A/B,Unknown,36,-28%,20,+82%,1,Engineering hiring burst,https://github.com/samply
earthians,Healthcare,Growth,APAC,4,-83%,86,+118%,0,Engineering hiring burst,https://github.com/earthians
HasteHealth,Healthcare,Pre-seed,Unknown,43,-25%,6,+0%,0,Framework migration,https://github.com/HasteHealth
hapifhir,Healthcare,Growth,Unknown,11,-58%,100,+0%,0,Framework migration,https://github.com/hapifhir
HeliosSoftware,Healthcare,Seed,US,134,+21%,14,+25%,1,Framework migration,https://github.com/HeliosSoftware
masslight,Healthcare,Series A/B,Unknown,53,-83%,28,+0%,0,Framework migration,https://github.com/masslight
healthchainai,Healthcare,Seed,UK,10,-9%,14,+200%,1,Engineering hiring burst,https://github.com/healthchainai
third-culture-software,Healthcare,Series A/B,Unknown,28,+33%,28,+40%,0,Framework migration,https://github.com/third-culture-software
sunlabuiuc,Healthcare,Growth,Unknown,3,+50%,56,+0%,0,Framework migration,https://github.com/sunlabuiuc
tuva-health,Healthcare,Series A/B,US,1,-67%,48,+0%,2,Framework migration,https://github.com/tuva-health
fedbiomed,Healthcare,Series A/B,Unknown,5,-67%,23,+8%,0,Framework migration,https://github.com/fedbiomed
insightsengineering,Healthcare,Seed,EU,2,+999%,9,+0%,2,Deploy frequency spike,https://github.com/insightsengineering
HCW-home,Healthcare,Pre-seed,EU,2,+100%,6,+25%,0,Framework migration,https://github.com/HCW-home
medplum,Healthcare,Growth,US,71,-32%,100,+28%,3,Infrastructure buildout,https://github.com/medplum
ccao-data,EdTech,Seed,Unknown,3,+999%,11,+0%,0,Deploy frequency spike,https://github.com/ccao-data
hpi-schul-cloud,EdTech,Growth,EU,16,-11%,100,+0%,0,Framework migration,https://github.com/hpi-schul-cloud
learning-commons-org,EdTech,Seed,US,10,+11%,9,+0%,1,Framework migration,https://github.com/learning-commons-org
iblai,EdTech,Seed,US,106,-28%,11,+34%,1,Framework migration,https://github.com/iblai
codeforlife-education,EdTech,Pre-seed,UK,1,-67%,3,+0%,1,Framework migration,https://github.com/codeforlife-education
buddhist-uni,EdTech,Seed,Unknown,10,-37%,11,+0%,0,Framework migration,https://github.com/buddhist-uni
Vacademy-io,EdTech,Series A/B,APAC,697,+111%,23,+11%,0,Framework migration,https://github.com/Vacademy-io
eduhub-org,EdTech,Seed,Unknown,65,+86%,18,+0%,0,Framework migration,https://github.com/eduhub-org
isaqb-org,EdTech,Pre-seed,EU,7,+999%,5,+75%,0,Engineering hiring burst,https://github.com/isaqb-org
cpinitiative,EdTech,Growth,Unknown,121,-59%,100,+28%,0,Framework migration,https://github.com/cpinitiative
INGInious,EdTech,Growth,Unknown,11,+999%,60,+0%,0,Deploy frequency spike,https://github.com/INGInious
StudyDrift,EdTech,Pre-seed,Unknown,66,-22%,3,+13%,0,Framework migration,https://github.com/StudyDrift
quizfreely,EdTech,Pre-seed,Unknown,27,-56%,3,+13%,0,Framework migration,https://github.com/quizfreely
ob-f,EdTech,Series A/B,Unknown,5,+999%,35,+67%,0,Engineering hiring burst,https://github.com/ob-f
ai-shifu,EdTech,Series A/B,APAC,54,-57%,22,+22%,0,Framework migration,https://github.com/ai-shifu
hedyorg,EdTech,Growth,EU,28,+87%,100,+76%,0,Engineering hiring burst,https://github.com/hedyorg
zoonk,EdTech,Pre-seed,Unknown,55,+162%,5,+0%,0,Deploy frequency spike,https://github.com/zoonk
spectrocloud,EdTech,Growth,US,28,+12%,92,+3%,1,Framework migration,https://github.com/spectrocloud
otter-sec,EdTech,Seed,Unknown,49,+63%,9,+0%,0,Framework migration,https://github.com/otter-sec
classroomio,EdTech,Series A/B,Unknown,48,-6%,30,+31%,0,Framework migration,https://github.com/classroomio
AvaCodeSolutions,EdTech,Seed,Unknown,59,-18%,8,+25%,0,Framework migration,https://github.com/AvaCodeSolutions
chipmates,EdTech,Pre-seed,EU,68,+66%,6,+0%,1,Framework migration,https://github.com/chipmates
elimu-ai,EdTech,Seed,Unknown,8,-77%,12,+0%,0,Framework migration,https://github.com/elimu-ai
